!
!coefev = [area(i+1) - area(i)]/[storage(i+1)-storage(i)]
!         added by Z.Q. Richard Chen 5/8/2017
!units:            af   acre      cfs     ft     [1/ft]
!
res_info
res_num         storage     area      discharge    elevation		coefev	
      27           4000       470         1000           1500		0.03509	
      27           9700       670         1000           1510		0.02329	
      27          17000       840         1000           1520		0.01895	
      27          26500      1020         1000           1530		0.01565	
      27          38000      1200         1000           1540		0.01583	
      27          50000      1390         1000           1550		0.015	
      27          66000      1630         1000           1560		0.01371	
      27          83500      1870         1000           1570		0.01231	
      27         103000      2110         1000           1580		0.01	
      27         130000      2380         3800           1592		0.01	
      28              0         0            0              0		0.03	
      28           1500        45         3100           2300		0.03182	
      28           7000       220         3100           2350		0.01333	
      28          22000       420         3100           2400		0.00827	
      28          48000       635         3100           2450		0.00605	
      28          86000       865         3100           2500		0.00522	
      28         133913      1115         3100           2548		0.00472	
      28         147680      1180         3100           2560		0.00496	
      28         159778      1240         3100           2570		0.00503	
      28         172496      1304         3100           2580		0.00531	
      28         200000      1450         3100           2604		0.00531	
      29              0         0         3100           1200		0.025	
      29          10000       250         3100           1250		0.02333	
      29          25000       600         3100           1300		0.0075	
      29          65000       900         3100           1350		0.00877	
      29          94874      1162         3100           1379		0.00584	
      29         141634      1435         3100           1415		0.00482	
      29         196413      1699         3100           1450		0.01829	
      29         260662      2874         3100           1485		0.01682	!use upper interval coefev
      29         323702      2235         3100           1515		0.01682	
      29         363250      2900         3100           1530		0.01682	
      30              0         0         6800            220		0.17241	
      30             29         5         6800            240		0.07547	
      30            294        25         6800            260		0.10874	
      30           2354       249         6800            280		0.06375	
      30          15702      1100         6800            300		0.03738	
      30          50078      2385         6800            320		0.02314	
      30         112359      3826         6800            340		0.01623	
      30         200601      5258         6800            360		0.01045	
      30         320833      6514         6800            380		0.00841	
      30         462053      7701         6800            400		0.00839	
      30         631450      9122         6800            420		0.00592	
      30         824033     10263         6800            440		0.00487	
      30        1040446     11318         6800            460		0.00426	
      30        1276899     12326         6800            480		0.0036	
      30        1533618     13251         6800            500		0.00321	
      30        1807485     14130         6800            520		0.0029	
      30        2096884     14969         6800            540		0.0029	
      31         190000      1500         3218           1700		0.0082	
      31         251000      2000         3251           1732		0.00537	
      31         400000      2800         3267           1801		0.0025	
      31         600000      3300        99999           1874		0.005	
      31         700000      3800        99999           1902		0.00417	
      31         796000      4200        99999           1918		0.003	
      31         896000      4500        99999           1948		0.02143	
      31         966000      6000        99999           1961		0	
      31         990000      6000        99999           1965		0	
      32              0         0            0           5933		0.01471	
      32          17000       250        99999           5958		0.01471	
      32          34000       500        99999           5984		0.0147	
      32          52500       772        99999           6011		0.01467	
      32          69200      1017        99999           6036		0.01467	
      33              0         0            0           5392		0.01215	
      33          20000       243        99999           5443		0.0121	
      33          40000       485        99999           5495		0.01233	
      33          55000       670        99999           5515		0.01192	
      33          68000       825        99999           5567		0.01192	
      34              0         0            0           6200		0.01533	
      34          46700       716        99999           6343		0.01533	
      35              0         0            0           4741		0.012	
      35          15000       180        99999           4800		0.0053	
      35          25000       233        99999           4833		0.00936	
      35          50000       467        99999           4925		0.00931	
      35          74800       698        99999           5016		0.00931	
      36              0         0            0           2910		0.0148	
      36          49000       725        99999           3085		0.0148	
      37          50000       600         4235            507		0.014	
      37          65000       810        99999            522		0.0025	
      37          67000       815        99999            527		0.00019	
      37          72400       816        99999            530		0.00019	
      40            279        51            5        1131.68		0.1407	
      40            478        79            5           1135		0.11	
      40            978       134            5           1140		0.08889	
      40           1788       206            5           1140		0.07327	
      40           2989       294          750           1150		0.06166	
      40           5000       418          753        1155.84		0.05085	
      40           6888       514          755           1160		0.04407	
      40           9702       638          758           1165		0.0396	
      40          13162       775          760           1170		0.03772	
      40          17351       933          763           1175		0.03508	
      40          22368      1109          765           1180		0.03018	
      40          28265      1287          768           1185		0.02732	
      40          35074      1473          770           1190		0.02391	
      40          42810      1658          773           1195		0.02203	
      40          47895      1770         1300           1198		0.02295	
      40          48200      1777         1300        1198.18		0.0198	
      40          49665      1806         1900           1199		0.02024	
      40          50900      1831         2500        1199.68		0.02102	
      40          51471      1843         3039           1200		0.01988	
      40          54589      1905         9950        1201.68		0.01863	
      40          59205      1991        26835           1204		0.0177	
      40          67565      2139        75820           1208		0.0177	
      41              0         0            0            728		0.375	
      41              8         3           15            735		0.20408	
      41             57        13           15         744.23		0.1134	
      41            154        24           15            750		0.15116	
      41            326        50           15            755		0.0906	
      41            624        77           15            760		0.09494	
      41           1098       122           15            765		0.06705	
      41           1799       169          650            770		0.06315	
      41           2765       230         3000            775		0.04728	
      41           4034       290         3000            780		0.03883	
      41           5605       351         3000            785		0.03308	
      41           7479       413         4000            790		0.03763	
      41           9711       497         4000            795		0.03097	
      41          12359       579         4000            800		0.0265	
      41          15416       660         4000            805		0.02393	
      41          18884       743         4000            810		0.02361	
      41          22781       835         4000            815		0.02046	
      41          28059       943         5000            821		0.04965	
      41          28200       950         5000         821.38		0.01791	
      41          31941      1017         5000            825		0.0171	
      41          37204      1107         5000            830		0.01626	
      41          38311      1125         5000            831		0.01605	
      41          42921      1199         9960            835		0.01458	
      41          49094      1289        23760            840		0.01396	
      41          50383      1307        26820            841		0.0137	
      41          55054      1371        39315          844.5		0.01499	
      41          55721      1381        41355            845		0.01223	
      41          58500      1415        49770            847		0.01223	
      41          62670      1466        63880            850		0.01223	
      42              1         1            0            380		0.6	
      42             21        13         2000            390		0.15028	
      42           1079       172         7000            400		0.051	
      42           2079       223         8400            405		0.08406	
      42           3459       339         9700            410		0.0829	
      42           5389       499        11000          414.6		0.06098	
      42           8603       695        12400            420		0.04624	
      42          12517       876        13800            425		0.04559	
      42          17430      1100        15100            430		0.04705	
      42          23615      1391        16100            435		0.0515	
      42          33576      1904        17300            441		0.03585	
      42          41749      2197        18100            445		0.03206	
      42          53665      2579        19000            450		0.03257	
      42          64689      2938        19400            454		0.02503	
      42          83824      3417        20000            460		0.01821	
      42         101729      3743        20000            465		0.01865	
      42         121349      4109        20000            470		0.01812	
      42         136193      4378        20000          473.5		0.0128	
      42         213397      5366        20000            489		0.01535	
      42         218805      5449        46700            490		0.01359	
      42         277286      6244        73600            500		0.0136	
      42         365008      7437       122200            515		0.0136	
      44              0         0            0           1067		0.00336	!use upper interval coefev
      44              0     30000       128651     1067.00001		0.00336	
      44         600000     32015       275326         1086.1		0.00503	
      44         636000     32196       282067           1087		0	
      44         636001     32196       282067           1087		0	
      45              0         0        99999            185		0.14	!Lake    Berryessa
      45            100        14        99999            200		0.01065	
      45           9400       113        99999            220		0.02833	
      45          14800       266        99999            240		0.03378	
      45          29600       766        99999            280		0.03738	
      45         120600      4168        99999            320		0.0212	
      45         404600     10190        99999            360		0.00975	
      45         911200     15128        99999            400		0.00602	
      45        1602300     19290        99999            440		0.00602	
      52              0         0            0              0		0.0465	
      52          10000       465        99999            462		0.0244	
      52          20000       709        99999            479		0.0184	
      52          30000       893        99999            491		0.0152	
      52          40000      1045        99999            502		0.0131	
      52          50000      1176        99999            511		0.0114	
      52          60000      1290        99999            519		0.00975	
      52          80000      1485        99999            534		0.00815	
      52         100000      1648        99999            548		0.0069	
      52         120000      1786        99999            561		0.0069	
      53              0         0            0              0		0.03887	
      53          15000       583        99999            475		0.01535	
      53          35000       890        99999            502		0.01072	
      53          60000      1158        99999            525		0.00848	
      53          85000      1370        99999            544		0.00712	
      53         110000      1548        99999            562		0.00624	
      53         135000      1704        99999            577		0.0056	
      53         160000      1844        99999            592		0.00512	
      53         185000      1972        99999            606		0.00472	
      53         210000      2090        99999            619		0.00472	
      63              0         0         5000              0		0.01161	
      63         336000      3900         5000            142		0.00661	
      63         669000      6100         5000            199		0.00571	
      63        1002000      8000         5000            239		0.0042	
      63        1335000      9400         5000            263		0.0039	
      63        1668000     10700         5000            284		0.00541	
      63        2001000     12500         5000            311		0.00541	
      63        2334000     14300         5000            345		0.0036	
      63        2667000     15500         5000            361		0.0024	
      63        3000000     16300         5000            373		0.0024	
      74              0         2            0          116.5		0.25143	
      74            875       222        99999          131.5		0.23638	
      74           2766       669        99999            136		0.15195	
      74           7998      1464        99999            141		0.10036	
      74          15312      2198        99999            145		0.04859	
      74          67322      4725        99999            160		0.04286	
