C NODEDR     ELEVDR        CDCDR     ISTRMDR
C-------------------------------------------------------------------------------
  -196     268.90         99999         309             / GCC036 --> SR_07N_CBD049
  -197     209.90         99999         309             / GCC036 --> SR_07N_CBD049
  -199     101.90         99999         318             / CBD049 --> SR_08N_CBD049
  -200      91.90         99999         318             / CBD049 --> SR_08N_CBD049
  -201      82.90         99999         318             / CBD049 --> SR_08N_CBD049
  -203      72.90         99999         290             / BTC007 --> SR_09_BSL001
  -205      70.90         99999         290             / BTC007 --> SR_11_BSL001
  -206      82.90         99999         290             / BTC007 --> SR_11_BSL001
  -207      91.90         99999         335             / SBP028 --> SR_11_DWRPS1
  -209      84.90         99999         346             / FTR045 --> SR_12_HON004
  -210     276.90         99999         309             / GCC036 --> SR_07N_CBD049
  -212      91.90         99999         318             / CBD049 --> SR_08N_CBD049
  -214      72.90         99999         318             / CBD049 --> SR_08N_CBD049
  -215     255.90         99999         310             / GCC039 --> SR_07N_CBD049
  -217      86.90         99999         318             / CBD049 --> SR_08N_CBD049
  -222      61.90         99999         290             / BTC007 --> SR_09_BSL001
  -224      67.90         99999         290             / BTC007 --> SR_11_BSL001
  -225      77.90         99999         290             / BTC007 --> SR_11_BSL001
  -226     206.90         99999         312             / GCC046 --> SR_07S_CBD028
  -228      77.90         99999         319             / CBD044 --> SR_08N_CBD049
  -229      60.90         99999         290             / BTC007 --> SR_17N_BSL001
  -230      70.90         99999         290             / BTC007 --> SR_11_BSL001
  -231      79.90         99999         335             / SBP028 --> SR_11_DWRPS1
  -233      88.90         99999         352             / FTR028 --> SR_15N_JCK002
  -234     139.90         99999         346             / FTR045 --> SR_15N_HON004
  -235     245.90         99999         312             / GCC046 --> SR_07S_CBD028
  -237      76.90         99999         320             / CBD041 --> SR_08S_CBD038
  -238      56.90         99999         319             / CBD044 --> SR_08N_CBD049
  -241      52.90         99999         290             / BTC007 --> SR_09_BSL001
  -243      64.90         99999         290             / BTC007 --> SR_17N_BSL001
  -244     200.90         99999         335             / SBP028 --> SR_11_DWRPS1
  -245      66.90         99999         335             / SBP028 --> SR_11_DWRPS1
  -247      76.90         99999         352             / FTR028 --> SR_15N_JCK002
  -248     121.90         99999         352             / FTR028 --> SR_14_JCK002
  -249     166.90         99999         313             / GCC050 --> SR_07S_CBD028
  -251      72.90         99999         320             / CBD041 --> SR_08S_CBD028
  -252      57.90         99999         320             / CBD041 --> SR_08S_CBD028
  -256     101.90         99999         291             / BTC003 --> SR_17N_BSL001
  -257     246.90         99999         314             / GCC056 --> SR_07S_CBD028
  -259      67.90         99999         321             / CBD037 --> SR_08S_CBD038
  -261      47.90         99999         294             / SAC141 --> SR_08S_SAC146
  -264     352.90         99999         314             / GCC056 --> SR_07S_CBD028
  -265     272.90         99999         315             / GCC060 --> SR_07S_CBD028
  -271      59.90         99999         335             / SBP028 --> SR_11_DWRPS1
